"Id","ERROR"
"00l5g000000W04CAAS","insufficient access rights on object id"
"00l5g000000W04DAAS","insufficient access rights on object id"
"00l5g000000W04EAAS","insufficient access rights on object id"
"00l5g000000W04FAAS","insufficient access rights on object id"
"00l5g000000W04GAAS","insufficient access rights on object id"
"00l5g000000W04HAAS","insufficient access rights on object id"
"00l5g000000W04IAAS","insufficient access rights on object id"
"00l5g000000W04JAAS","insufficient access rights on object id"
"00l5g000000W04KAAS","insufficient access rights on object id"
"00l5g000000W04LAAS","insufficient access rights on object id"
"00l5g000000W04MAAS","insufficient access rights on object id"
"00l5g000000W04NAAS","insufficient access rights on object id"
"00l5g000000W04OAAS","insufficient access rights on object id"
"00l5g000000W04PAAS","insufficient access rights on object id"
"00l5g000000W04QAAS","insufficient access rights on object id"
"00lJ1000000Dmv9IAC","Your attempt to delete folder_1754667231_2168965 cannot be completed because it contains the following documents. If any of these documents are in the Recycle Bin, you must empty your Recycle Bin before deleting the folder.: Confidential.docx
"
"00lJ1000000DmvEIAS","Your attempt to delete folder_1754753619_7438366 cannot be completed because it contains the following documents. If any of these documents are in the Recycle Bin, you must empty your Recycle Bin before deleting the folder.: Confidential.docx
"
"00lJ1000000DmvJIAS","Your attempt to delete folder_1754840025_8137455 cannot be completed because it contains the following documents. If any of these documents are in the Recycle Bin, you must empty your Recycle Bin before deleting the folder.: Confidential.docx
"
"00lJ1000000Dn0ZIAS","Your attempt to delete folder_1754925714_730589 cannot be completed because it contains the following documents. If any of these documents are in the Recycle Bin, you must empty your Recycle Bin before deleting the folder.: Confidential.docx
"
"00lJ1000000Dn5kIAC","Your attempt to delete folder_1755012821_5536587 cannot be completed because it contains the following documents. If any of these documents are in the Recycle Bin, you must empty your Recycle Bin before deleting the folder.: Confidential.docx
"
